ATC,Interchangeable Category Name,DIN,Product Description,Prescriber Type,Reimbursment Price,Price Type,Benefit Status,MFR,Interchangeabiilty Flag
C09DA06,candesartan 32mg & hydrochlorothiazide 12.5mg tab,2395126,Apo-Candesartan/HCTZ 32/12.5mg Tab (discontinued),,,,,APX,Y
C09DA06,candesartan 32mg & hydrochlorothiazide 12.5mg tab,2395568,Teva-Candesartan/HCTZ 32/12.5mg Tab,DNP,0.2156,M,SF,TEV,Y
C09DA06,candesartan 32mg & hydrochlorothiazide 12.5mg tab,2420732,Sandoz Candesartan Plus 32/12.5mg Tab,DNP,0.2156,M,SF,SDZ,Y
C09DA06,candesartan 32mg & hydrochlorothiazide 12.5mg tab,2421046,Auro-Candesartan HCT 32/12.5mg Tab,DNP,0.2156,M,SF,ARO,Y
C09DA06,candesartan 32mg & hydrochlorothiazide 25mg tab,2332957,Atacand Plus 32/25mg Tab,DNP,0.3047,M,SF,AZE,Y
C09DA06,candesartan 32mg & hydrochlorothiazide 25mg tab,2395134,Apo-Candesartan/HCTZ 32/25mg Tab (discontinued),,,,,APX,Y
C09DA06,candesartan 32mg & hydrochlorothiazide 25mg tab,2420740,Sandoz Candesartan Plus 32/25mg Tab,DNP,0.3047,M,SF,SDZ,Y
C09DA06,candesartan 32mg & hydrochlorothiazide 25mg tab,2421054,Auro-Candesartan HCT 32/25mg Tab,DNP,0.3047,M,SF,ARO,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 12.5mg tab,2244344,Micardis Plus 80/12.5mg Tab,DNP,0.2098,M,SF,BOE,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 12.5mg tab,2330288,Teva-Telmisartan HCTZ 80/12.5mg tab,DNP,0.2098,M,SF,TEV,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 12.5mg tab,2390302,Telmisartan HCTZ-80mg/12.5mg Tab,DNP,0.2098,M,SF,SIV,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 12.5mg tab,2393557,Sandoz Telmisartan HCT 80/12.5mg Tab,DNP,0.2098,M,SF,SDZ,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 12.5mg tab,2395355,Telmisartan/HCTZ 80/12.5mg Tab,DNP,0.2098,M,SF,SAS,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 12.5mg tab,2419114,ACH-Telmisartan HCTZ 80/12.5mg Tab,DNP,0.2098,M,SF,AHI,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 12.5mg tab,2420023,Apo-Telmisartan/HCT 80/12.5mg Tab (discontinued),,,,,APX,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 12.5mg tab,2433214,Telmisartan-HCTZ 80mg/12.5mg Tab (discontinued),,,,,PMS,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 12.5mg tab,2456389,Auro-Telmisartan HCTZ 80mg/12.5mg Tab,DNP,0.2098,M,SF,ARO,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 25mg tab,2318709,Micardis Plus 80/25mg Tab,DNP,0.2098,M,SF,BOE,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 25mg tab,2379252,Teva-Telmisartan HCTZ 80/25mg tab,DNP,0.2098,M,SF,TEV,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 25mg tab,2390310,Telmisartan HCTZ-80mg/25mg Tab,DNP,0.2098,M,SF,SIV,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 25mg tab,2393565,Sandoz Telmisartan HCT 80/25mg Tab,DNP,0.2098,M,SF,SDZ,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 25mg tab,2395363,Telmisartan/HCTZ 80/25mg Tab,DNP,0.2098,M,SF,SAS,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 25mg tab,2419122,ACH-Telmisartan HCTZ 80/25mg Tab,DNP,0.2098,M,SF,AHI,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 25mg tab,2420031,Apo-Telmisartan/HCT 80/25mg Tab (discontinued),,,,,APX,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 25mg tab,2433222,Telmisartan HCTZ 80/25mg Tab (discontinued),,,,,PMS,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 25mg tab,2456397,Auro-Telmisartan HCTZ 80mg/25mg Tab,DNP,0.2098,M,SF,ARO,Y
C09DA08,olmesartan medoxomil 20mg & hydrochlorotiazide 12.5mg tab,2319616,Olmetec Plus 20mg/12.5mg Tab,DNP,0.6038,M,SF,FRS,Y
C09DA08,olmesartan medoxomil 20mg & hydrochlorotiazide 12.5mg tab,2443112,ACT Olmesartan HCT 20mg/12.5mg Tab,DNP,0.6038,M,SF,ATV,Y
C09DA08,olmesartan medoxomil 20mg & hydrochlorotiazide 12.5mg tab,2453606,Apo-Olmesartan/HCTZ 20mg/12.5mg Tab,DNP,0.6038,M,SF,APX,Y
C09DA08,olmesartan medoxomil 40mg & hydrochlorothiazide 12.5mg tab,2319624,Olmetec Plus 40mg/12.5mg Tab,DNP,0.6038,M,SF,FRS,Y
C09DA08,olmesartan medoxomil 40mg & hydrochlorothiazide 12.5mg tab,2443120,ACT Olmesartan HCT 40mg/12.5mg Tab,DNP,0.6038,M,SF,ATV,Y
C09DA08,olmesartan medoxomil 40mg & hydrochlorothiazide 12.5mg tab,2453614,Apo-Olmesartan/HCTZ 40mg/12.5mg Tab,DNP,0.6038,M,SF,APX,Y
C09DA08,olmesartan medoxomil 40mg & hydrochlorothiazide 25mg tab,2319632,Olmetec Plus 40mg/25mg Tab,DNP,0.6038,M,SF,FRS,Y
C09DA08,olmesartan medoxomil 40mg & hydrochlorothiazide 25mg tab,2443139,ACT Olmesartan HCT 40mg/25mg Tab,DNP,0.6038,M,SF,ATV,Y
C09DA08,olmesartan medoxomil 40mg & hydrochlorothiazide 25mg tab,2453622,Apo-Olmesartan/HCTZ 40mg/25mg Tab,DNP,0.6038,M,SF,APX,Y
C09DA99,,2397749,Edarbyclor 40/12.5mg Tab,,,,,VLN,N
C09DA99,,2397757,Edarbyclor 80/12.5mg Tab,,,,,VLN,N
C09DA99,,2397765,Edarbyclor 40/25mg Tab,,,,,VLN,N
C09DB04,,2371022,Twynsta 40/5mg Tab,DNP,0.7125,L,SF,BOE,N
C09DB04,,2371030,Twynsta 40/10mg Tab,DNP,0.7125,L,SF,BOE,N
C09DB04,,2371049,Twynsta 80/5mg Tab,DNP,0.7125,L,SF,BOE,N
C09DB04,,2371057,Twynsta 80/10mg Tab,DNP,0.7125,L,SF,BOE,N
C09XA02,,2302063,Rasilez 150mg Tab,,,,,NVR,N
C09XA02,,2302071,Rasilez 300mg Tab,,,,,NVR,N
C10AA01,simvastatin 10mg tab,884332,Zocor 10mg Tab,DNP,0.2023,M,SF,FRS,Y
C10AA01,simvastatin 10mg tab,2246583,MYLAN-Simvastatin 10mg Tab (discontinued),,,,,MYL,Y
C10AA01,simvastatin 10mg tab,2247012,Apo-Simvastatin 10mg Tab,DNP,0.2023,M,SF,APX,Y
C10AA01,simvastatin 10mg tab,2248104,CO Simvastatin 10mg Tab (discontinued),,,,,ATV,Y
C10AA01,simvastatin 10mg tab,2250152,Novo-Simvastatin 10mg Tab,DNP,0.2023,M,SF,TEV,Y
C10AA01,simvastatin 10mg tab,2269260,pms-Simvastatin 10mg Tab,DNP,0.2023,M,SF,PMS,Y
C10AA01,simvastatin 10mg tab,2284731,Simvastatin 10mg Tab,DNP,0.2023,M,SF,SAS,Y
C10AA01,simvastatin 10mg tab,2329158,RAN-Simvastatin 10mg Tab,DNP,0.2023,M,SF,RAN,Y
C10AA01,simvastatin 10mg tab,2372940,MINT-Simvastatin 10mg Tab,DNP,0.2023,M,SF,MNT,Y
C10AA01,simvastatin 10mg tab,2375044,Mar-Simvastatin 10mg Tab,DNP,0.2023,M,SF,MAR,Y
C10AA01,simvastatin 10mg tab,2375605,Jamp-Simvastatin 10mg Tab,DNP,0.2023,M,SF,JPC,Y
C10AA01,simvastatin 10mg tab,2386305,Simvastatin-10mg Tab,DNP,0.2023,M,SF,SIV,Y
C10AA01,simvastatin 10mg tab,2405156,Auro-Simvastatin 10mg Tab,DNP,0.2023,M,SF,ARO,Y
C10AA01,simvastatin 10mg tab,2469987,pharma-Simvastatin 10mg Tab,DNP,0.2023,M,SF,PMS,Y
C10AA01,simvastatin 20mg tab,884340,Zocor 20mg Tab,DNP,0.2501,M,SF,FRS,Y
C10AA01,simvastatin 20mg tab,2246737,MYLAN-Simvastatin 20mg Tab (discontinued),,,,,MYL,Y
C10AA01,simvastatin 20mg tab,2247013,Apo-Simvastatin 20mg Tab,DNP,0.2501,M,SF,APX,Y
C10AA01,simvastatin 20mg tab,2248105,CO Simvastatin 20mg Tab (discontinued),,,,,ATV,Y
C10AA01,simvastatin 20mg tab,2250160,Novo-Simvastatin 20mg Tab,DNP,0.2501,M,SF,TEV,Y
C10AA01,simvastatin 20mg tab,2269279,pms-Simvastatin 20mg Tab,DNP,0.2501,M,SF,PMS,Y
C10AA01,simvastatin 20mg tab,2284758,Simvastatin 20mg Tab,DNP,0.2501,M,SF,SAS,Y
C10AA01,simvastatin 20mg tab,2329166,RAN-Simvastatin 20mg Tab,DNP,0.2501,M,SF,RAN,Y
C10AA01,simvastatin 20mg tab,2372959,MINT-Simvastatin 20mg Tab,DNP,0.2501,M,SF,MNT,Y
C10AA01,simvastatin 20mg tab,2375052,Mar-Simvastatin 20mg Tab,DNP,0.2501,M,SF,MAR,Y
C10AA01,simvastatin 20mg tab,2375613,Jamp-Simvastatin 20mg Tab,DNP,0.2501,M,SF,JPC,Y
C10AA01,simvastatin 20mg tab,2386313,Simvastatin-20mg Tab,DNP,0.2501,M,SF,SIV,Y
C10AA01,simvastatin 20mg tab,2405164,Auro-Simvastatin 20mg Tab,DNP,0.2501,M,SF,ARO,Y
C10AA01,simvastatin 20mg tab,2469995,pharma-Simvastatin 20mg Tab,DNP,0.2501,M,SF,PMS,Y
C10AA01,simvastatin 40mg tab,884359,Zocor 40mg Tab,DNP,0.2501,M,SF,FRS,Y
C10AA01,simvastatin 40mg tab,2246584,MYLAN-Simvastatin 40mg Tab (discontinued),,,,,MYL,Y
C10AA01,simvastatin 40mg tab,2247014,Apo-Simvastatin 40mg Tab,DNP,0.2501,M,SF,APX,Y
C10AA01,simvastatin 40mg tab,2250179,Teva-Simvastatin 40mg Tab,DNP,0.2501,M,SF,TEV,Y
C10AA01,simvastatin 40mg tab,2269287,pms-Simvastatin 40mg Tab,DNP,0.2501,M,SF,PMS,Y
C10AA01,simvastatin 40mg tab,2284766,Simvastatin 40mg Tab,DNP,0.2501,M,SF,SAS,Y
C10AA01,simvastatin 40mg tab,2329174,RAN-Simvastatin 40mg Tab,DNP,0.2501,M,SF,RAN,Y
C10AA01,simvastatin 40mg tab,2372967,MINT-Simvastatin 40mg Tab,DNP,0.2501,M,SF,MNT,Y
C10AA01,simvastatin 40mg tab,2375060,Mar-Simvastatin 40mg Tab,DNP,0.2501,M,SF,MAR,Y
C10AA01,simvastatin 40mg tab,2375621,Jamp-Simvastatin 40mg Tab,DNP,0.2501,M,SF,JPC,Y
C10AA01,simvastatin 40mg tab,2386321,Simvastatin-40mg Tab,DNP,0.2501,M,SF,SIV,Y
C10AA01,simvastatin 40mg tab,2405172,Auro-Simvastatin 40mg Tab,DNP,0.2501,M,SF,ARO,Y
C10AA01,simvastatin 40mg tab,2470004,pharma-Simvastatin 40mg Tab,DNP,0.2501,M,SF,PMS,Y
C10AA01,simvastatin 5mg tab,884324,Zocor 5mg Tab (discontinued),,,,,FRS,Y
C10AA01,simvastatin 5mg tab,2246582,MYLAN-Simvastatin 5mg Tab (discontinued),,,,,MYL,Y
C10AA01,simvastatin 5mg tab,2247011,Apo-Simvastatin 5mg Tab,DNP,0.1023,M,SF,APX,Y
C10AA01,simvastatin 5mg tab,2248103,CO Simvastatin 5mg Tab (discontinued),,,,,ATV,Y
C10AA01,simvastatin 5mg tab,2250144,Teva-Simvastatin 5mg Tab,DNP,0.1023,M,SF,TEV,Y
C10AA01,simvastatin 5mg tab,2269252,pms-Simvastatin 5mg Tab,DNP,0.1023,M,SF,PMS,Y
C10AA01,simvastatin 5mg tab,2284723,Simvastatin 5mg Tab,DNP,0.1023,M,SF,SAS,Y
C10AA01,simvastatin 5mg tab,2329131,RAN-Simvastatin 5mg Tab,DNP,0.1023,M,SF,RAN,Y
C10AA01,simvastatin 5mg tab,2372932,MINT-Simvastatin 5mg Tab,DNP,0.1023,M,SF,MNT,Y
C10AA01,simvastatin 5mg tab,2375036,Mar-Simvastatin 5mg Tab,DNP,0.1023,M,SF,MAR,Y
C10AA01,simvastatin 5mg tab,2375591,Jamp-Simvastatin 5mg Tab,DNP,0.1023,M,SF,JPC,Y
C10AA01,simvastatin 5mg tab,2386291,Simvastatin-5mg Tab,DNP,0.1023,M,SF,SIV,Y
C10AA01,simvastatin 5mg tab,2405148,Auro-Simvastatin 5mg Tab,DNP,0.1023,M,SF,ARO,Y
C10AA01,simvastatin 5mg tab,2469979,pharma-Simvastatin 5mg Tab,DNP,0.1023,M,SF,PMS,Y
C10AA01,simvastatin 80mg tab,2240332,Zocor 80mg Tab (discontinued),,,,,FRS,Y
C10AA01,simvastatin 80mg tab,2246585,MYLAN-Simvastatin 80mg Tab (discontinued),,,,,MYL,Y
C10AA01,simvastatin 80mg tab,2247015,Apo-Simvastatin 80mg Tab,DNP,0.2501,M,SF,APX,Y
C10AA01,simvastatin 80mg tab,2250187,Teva-Simvastatin 80mg Tab,DNP,0.2501,M,SF,TEV,Y
C10AA01,simvastatin 80mg tab,2269295,pms-Simvastatin 80mg Tab,DNP,0.2501,M,SF,PMS,Y
C10AA01,simvastatin 80mg tab,2284774,Simvastatin 80mg Tab,DNP,0.2501,M,SF,SAS,Y
C10AA01,simvastatin 80mg tab,2329182,RAN-Simvastatin 80mg Tab,DNP,0.2501,M,SF,RAN,Y
C10AA01,simvastatin 80mg tab,2372975,MINT-Simvastatin 80mg Tab,DNP,0.2501,M,SF,MNT,Y
C10AA01,simvastatin 80mg tab,2375079,Mar-Simvastatin 80mg Tab,DNP,0.2501,M,SF,MAR,Y
C10AA01,simvastatin 80mg tab,2375648,Jamp-Simvastatin 80mg Tab,DNP,0.2501,M,SF,JPC,Y
C10AA01,simvastatin 80mg tab,2386348,Simvastatin-80mg Tab,DNP,0.2501,M,SF,SIV,Y
C10AA01,simvastatin 80mg tab,2405180,Auro-Simvastatin 80mg Tab,DNP,0.2501,M,SF,ARO,Y
C10AA01,simvastatin 80mg tab,2470012,pharma-Simvastatin 80mg Tab,DNP,0.2501,M,SF,PMS,Y
C10AA02,lovastatin 20mg tab,795860,Mevacor 20mg Tab (discontinued),,,,,FRS,Y
C10AA02,lovastatin 20mg tab,2220172,Apo-Lovastatin 20mg Tab,DNP,0.5165,M,SF,APX,Y
C10AA02,lovastatin 20mg tab,2248572,CO Lovastatin 20mg Tab,DNP,0.5165,M,SF,ATV,Y
C10AA02,lovastatin 20mg tab,2353229,Lovastatin 20mg Tab,DNP,0.5165,M,SF,SAS,Y
C10AA02,lovastatin 40mg tab,795852,Mevacor 40mg Tab (discontinued),,,,,FRS,Y
C10AA02,lovastatin 40mg tab,2220180,Apo-Lovastatin 40mg Tab,DNP,0.9434,M,SF,APX,Y
C10AA02,lovastatin 40mg tab,2248573,CO Lovastatin 40mg Tab,DNP,0.9434,M,SF,ATV,Y
C10AA02,lovastatin 40mg tab,2353237,Lovastatin 40mg Tab,DNP,0.9434,M,SF,SAS,Y
C10AA03,pravastatin 10mg tab,893749,Pravachol 10mg Tab (discontinued),,,,,BRI,Y
C10AA03,pravastatin 10mg tab,2243506,Apo-Pravastatin 10mg Tab,DNP,0.2916,M,SF,APX,Y
C10AA03,pravastatin 10mg tab,2247008,Teva-Pravastatin 10mg Tab,DNP,0.2916,M,SF,TEV,Y
C10AA03,pravastatin 10mg tab,2284421,RAN-Pravastatin 10mg Tab,DNP,0.2916,M,SF,RAN,Y
C10AA03,pravastatin 10mg tab,2317451,MINT-Pravastatin 10mg Tab,DNP,0.2916,M,SF,MNT,Y
C10AA03,pravastatin 10mg tab,2330954,Jamp-Pravastatin 10mg Tab,DNP,0.2916,M,SF,JPC,Y
C10AA03,pravastatin 10mg tab,2356546,Pravastatin 10mg Tab (SAS),DNP,0.2916,M,SF,SAS,Y
C10AA03,pravastatin 10mg tab,2389703,Pravastatin-10mg,DNP,0.2916,M,SF,SIV,Y
C10AA03,pravastatin 10mg tab,2432048,Mar-Pravastatin 10mg Tab,DNP,0.2916,M,SF,MAR,Y
C10AA03,pravastatin 10mg tab,2458977,Auro-Pravastatin 10mg Tab,DNP,0.2916,M,SF,ARO,Y
C10AA03,pravastatin 10mg tab,2468700,Sandoz Pravastatin 10mg Tab,DNP,0.2916,M,SF,SDZ,Y
C10AA03,pravastatin 20mg tab,893757,Pravachol 20mg Tab,DNP,0.344,M,SF,BRI,Y
C10AA03,pravastatin 20mg tab,2243507,Apo-Pravastatin 20mg Tab,DNP,0.344,M,SF,APX,Y
C10AA03,pravastatin 20mg tab,2247009,Teva-Pravastatin 20mg Tab,DNP,0.344,M,SF,TEV,Y
C10AA03,pravastatin 20mg tab,2284448,RAN-Pravastatin 20mg Tab,DNP,0.344,M,SF,RAN,Y
C10AA03,pravastatin 20mg tab,2317478,MINT-Pravastatin 20mg Tab,DNP,0.344,M,SF,MNT,Y
C10AA03,pravastatin 20mg tab,2330962,Jamp-Pravastatin 20mg Tab,DNP,0.344,M,SF,JPC,Y
C10AA03,pravastatin 20mg tab,2356554,Pravastatin 20mg Tab (SAS),DNP,0.344,M,SF,SAS,Y
C10AA03,pravastatin 20mg tab,2389738,Pravastatin-20mg Tab,DNP,0.344,M,SF,SIV,Y
C10AA03,pravastatin 20mg tab,2432056,Mar-Pravastatin 20mg Tab,DNP,0.344,M,SF,MAR,Y
C10AA03,pravastatin 20mg tab,2458985,Auro-Pravastatin 20mg Tab,DNP,0.344,M,SF,ARO,Y
C10AA03,pravastatin 20mg tab,2468719,Sandoz Pravastatin 20mg Tab,DNP,0.344,M,SF,SDZ,Y
C10AA03,pravastatin 40mg tab,2222051,Pravachol 40mg Tab,DNP,0.4143,M,SF,BRI,Y
C10AA03,pravastatin 40mg tab,2243508,Apo-Pravastatin 40mg Tab,DNP,0.4143,M,SF,APX,Y
C10AA03,pravastatin 40mg tab,2247010,Teva-Pravastatin 40mg Tab,DNP,0.4143,M,SF,TEV,Y
C10AA03,pravastatin 40mg tab,2284456,RAN-Pravastatin 40mg Tab,DNP,0.4143,M,SF,RAN,Y
C10AA03,pravastatin 40mg tab,2317486,MINT-Pravastatin 40mg Tab,DNP,0.4143,M,SF,MNT,Y
C10AA03,pravastatin 40mg tab,2330970,Jamp-Pravastatin 40mg Tab,DNP,0.4143,M,SF,JPC,Y
C10AA03,pravastatin 40mg tab,2356562,Pravastatin 40mg Tab (SAS),DNP,0.4143,M,SF,SAS,Y
C10AA03,pravastatin 40mg tab,2389746,Pravastatin-40mg Tab,DNP,0.4143,M,SF,SIV,Y
C10AA03,pravastatin 40mg tab,2432064,Mar-Pravastatin 40mg Tab,DNP,0.4143,M,SF,MAR,Y
C10AA03,pravastatin 40mg tab,2458993,Auro-Pravastatin 40mg Tab,DNP,0.4143,M,SF,ARO,Y
C10AA03,pravastatin 40mg tab,2468727,Sandoz Pravastatin 40mg Tab,DNP,0.4143,M,SF,SDZ,Y
C10AA04,fluvastatin 20mg cap,2061562,Lescol 20mg Cap (discontinued),,,,,NVR,Y
C10AA04,fluvastatin 20mg cap,2299224,Teva-Fluvastatin 20mg Cap,DNP,0.3155,M,SF,TEV,Y
C10AA04,fluvastatin 20mg cap,2400235,Sandoz Fluvastatin 20mg Cap,DNP,0.3155,M,SF,SDZ,Y
C10AA04,fluvastatin 40mg cap,2061570,Lescol 40mg Cap (discontinued),,,,,NVR,Y
C10AA04,fluvastatin 40mg cap,2299232,Teva-Fluvastatin 40mg Cap,DNP,0.4433,M,SF,TEV,Y
C10AA04,fluvastatin 40mg cap,2400243,Sandoz Fluvastatin 40mg Cap,DNP,0.4433,M,SF,SDZ,Y
C10AA04,,2250527,Lescol XL 80mg Cap,DNP,1.6225,L,SF,NVR,N
C10AA05,atorvastatin 10mg tab,2230711,Lipitor 10mg Tab,DNP,0.1743,M,SF,PFI,Y
C10AA05,atorvastatin 10mg tab,2295261,Apo-Atorvastatin 10mg Tab,DNP,0.1743,M,SF,APX,Y
C10AA05,atorvastatin 10mg tab,2310899,CO Atorvastatin 10mg Tab,DNP,0.1743,M,SF,ATV,Y
C10AA05,atorvastatin 10mg tab,2313707,RAN-Atorvastatin 10mg Tab,DNP,0.1743,M,SF,RAN,Y
C10AA05,atorvastatin 10mg tab,2324946,Sandoz Atorvastatin 10mg Tab,DNP,0.1743,M,SF,SDZ,Y
C10AA05,atorvastatin 10mg tab,2348705,Atorvastatin 10mg Tab (SAS),DNP,0.1743,M,SF,SAS,Y
C10AA05,atorvastatin 10mg tab,2350297,ratio-Atorvastatin 10mg Tab,DNP,0.1743,M,SF,TEV,Y
C10AA05,atorvastatin 10mg tab,2391058,Jamp-Atorvastatin 10mg Tab,DNP,0.1743,M,SF,JPC,Y
C10AA05,atorvastatin 10mg tab,2392933,MYLAN-Atorvastatin 10mg Tab,DNP,0.1743,M,SF,MYL,Y
C10AA05,atorvastatin 10mg tab,2399377,pms-Atorvastatin 10mg Tab,DNP,0.1743,M,SF,PMS,Y
C10AA05,atorvastatin 10mg tab,2407256,Auro-Atorvastatin 10mg Tab,DNP,0.1743,M,SF,ARO,Y
C10AA05,atorvastatin 10mg tab,2411350,Atorvastatin-10mg Tab,DNP,0.1743,M,SF,SIV,Y
C10AA05,atorvastatin 20mg tab,2230713,Lipitor 20mg Tab,DNP,0.2179,M,SF,PFI,Y
C10AA05,atorvastatin 20mg tab,2295288,Apo-Atorvastatin 20mg Tab,DNP,0.2179,M,SF,APX,Y
C10AA05,atorvastatin 20mg tab,2310902,CO Atorvastatin 20mg Tab,DNP,0.2179,M,SF,ATV,Y
C10AA05,atorvastatin 20mg tab,2313715,RAN-Atorvastatin 20mg Tab,DNP,0.2179,M,SF,RAN,Y
C10AA05,atorvastatin 20mg tab,2324954,Sandoz Atorvastatin 20mg Tab,DNP,0.2179,M,SF,SDZ,Y
C10AA05,atorvastatin 20mg tab,2348713,Atorvastatin 20mg Tab (SAS),DNP,0.2179,M,SF,SAS,Y
C10AA05,atorvastatin 20mg tab,2350319,ratio-Atorvastatin 20mg Tab,DNP,0.2179,M,SF,TEV,Y
C10AA05,atorvastatin 20mg tab,2391066,Jamp-Atorvastatin 20mg Tab,DNP,0.2179,M,SF,JPC,Y
C10AA05,atorvastatin 20mg tab,2392941,MYLAN-Atorvastatin 20mg Tab,DNP,0.2179,M,SF,MYL,Y
C10AA05,atorvastatin 20mg tab,2399385,pms-Atorvastatin 20mg Tab,DNP,0.2179,M,SF,PMS,Y
C10AA05,atorvastatin 20mg tab,2407264,Auro-Atorvastatin 20mg Tab,DNP,0.2179,M,SF,ARO,Y
C10AA05,atorvastatin 20mg tab,2411369,Atorvastatin-20mg Tab,DNP,0.2179,M,SF,SIV,Y
C10AA05,atorvastatin 40mg tab,2230714,Lipitor 40mg Tab,DNP,0.2342,M,SF,PFI,Y
C10AA05,atorvastatin 40mg tab,2295296,Apo-Atorvastatin 40mg Tab,DNP,0.2342,M,SF,APX,Y
C10AA05,atorvastatin 40mg tab,2310910,CO Atorvastatin 40mg Tab,DNP,0.2342,M,SF,ATV,Y
C10AA05,atorvastatin 40mg tab,2313723,RAN-Atorvastatin 40mg Tab,DNP,0.2342,M,SF,RAN,Y
C10AA05,atorvastatin 40mg tab,2324962,Sandoz Atorvastatin 40mg Tab,DNP,0.2342,M,SF,SDZ,Y
C10AA05,atorvastatin 40mg tab,2348721,Atorvastatin 40mg Tab (SAS),DNP,0.2342,M,SF,SAS,Y
C10AA05,atorvastatin 40mg tab,2350327,ratio-Atorvastatin 40mg Tab,DNP,0.2342,M,SF,TEV,Y
C10AA05,atorvastatin 40mg tab,2391074,Jamp-Atorvastatin 40mg Tab,DNP,0.2342,M,SF,JPC,Y
C10AA05,atorvastatin 40mg tab,2392968,MYLAN-Atorvastatin 40mg Tab,DNP,0.2342,M,SF,MYL,Y
C10AA05,atorvastatin 40mg tab,2399393,pms-Atorvastatin 40mg Tab,DNP,0.2342,M,SF,PMS,Y
C10AA05,atorvastatin 40mg tab,2407272,Auro-Atorvastatin 40mg Tab,DNP,0.2342,M,SF,ARO,Y
C10AA05,atorvastatin 40mg tab,2411377,Atorvastatin-40mg Tab,DNP,0.2342,M,SF,SIV,Y
C10AA05,atorvastatin 80mg tab,2243097,Lipitor 80mg Tab,DNP,0.2342,M,SF,PFI,Y
C10AA05,atorvastatin 80mg tab,2295318,Apo-Atorvastatin 80mg Tab,DNP,0.2342,M,SF,APX,Y
C10AA05,atorvastatin 80mg tab,2310929,CO Atorvastatin 80mg Tab,DNP,0.2342,M,SF,ATV,Y
C10AA05,atorvastatin 80mg tab,2313758,RAN-Atorvastatin 80mg Tab,DNP,0.2342,M,SF,RAN,Y
C10AA05,atorvastatin 80mg tab,2324970,Sandoz Atorvastatin 80mg Tab,DNP,0.2342,M,SF,SDZ,Y
C10AA05,atorvastatin 80mg tab,2348748,Atorvastatin 80mg Tab (SAS),DNP,0.2342,M,SF,SAS,Y
C10AA05,atorvastatin 80mg tab,2350335,ratio-Atorvastatin 80mg Tab,,,,,TEV,Y
C10AA05,atorvastatin 80mg tab,2391082,Jamp-Atorvastatin 80mg Tab,DNP,0.2342,M,SF,JPC,Y
C10AA05,atorvastatin 80mg tab,2392976,MYLAN-Atorvastatin 80mg Tab,DNP,0.2342,M,SF,MYL,Y
C10AA05,atorvastatin 80mg tab,2399407,pms-Atorvastatin 80mg Tab,DNP,0.2342,M,SF,PMS,Y
C10AA05,atorvastatin 80mg tab,2407280,Auro-Atorvastatin 80mg Tab,DNP,0.2342,M,SF,ARO,Y
C10AA05,atorvastatin 80mg tab,2411385,Atorvastatin-80mg Tab,DNP,0.2342,M,SF,SIV,Y
C10AA07,rosuvastatin 10mg tab,2247162,Crestor 10mg Tab,DNP,0.1354,M,SF,AZE,Y
C10AA07,rosuvastatin 10mg tab,2337983,Apo-Rosuvastatin 10mg Tab,DNP,0.1354,M,SF,APX,Y
C10AA07,rosuvastatin 10mg tab,2338734,Sandoz Rosuvastatin 10mg Tab,DNP,0.1354,M,SF,SDZ,Y
C10AA07,rosuvastatin 10mg tab,2339773,CO Rosuvastatin 10mg Tab,DNP,0.1354,M,SF,ATV,Y
C10AA07,rosuvastatin 10mg tab,2354616,Teva-Rosuvastatin 10mg Tab,DNP,0.1354,M,SF,TEV,Y
C10AA07,rosuvastatin 10mg tab,2378531,pms-Rosuvastatin 10mg Tab,DNP,0.1354,M,SF,PMS,Y
C10AA07,rosuvastatin 10mg tab,2381273,MYLAN-Rosuvastatin 10mg Tab (discontinued),,,,,MYL,Y
C10AA07,rosuvastatin 10mg tab,2382652,RAN-Rosuvastatin 10mg Tab,DNP,0.1354,M,SF,RAN,Y
C10AA07,rosuvastatin 10mg tab,2391260,Jamp-Rosuvastatin 10mg Tab,DNP,0.1354,M,SF,JPC,Y
C10AA07,rosuvastatin 10mg tab,2397803,MINT-Rosuvastatin 10mg Tab,DNP,0.1354,M,SF,MNT,Y
C10AA07,rosuvastatin 10mg tab,2405636,Rosuvastatin 10mg Tab,DNP,0.1354,M,SF,SAS,Y
C10AA07,rosuvastatin 10mg tab,2411636,Rosuvastatin-10mg Tab,DNP,0.1354,M,SF,SIV,Y
