ATC,Interchangeable Category Name,DIN,Product Description,Prescriber Type,Reimbursement Price,Price Type,Benefit Status,MFR,Interchangeability Flag
C09DA04,irbesartan 300mg & hydrochlorothiazide 25mg tab,02393026,MINT-Irbesartan/HCTZ 300/25mg Tab,DNP,0.2184,M,SF,MNT,Y
C09DA04,irbesartan 300mg & hydrochlorothiazide 25mg tab,02418258,Jamp-Irbesartan/Hydrochlorothiazide 300/25mg Tab,DNP,0.2184,M,SF,JPC,Y
C09DA04,irbesartan 300mg & hydrochlorothiazide 25mg tab,02447894,Auro-Irbesartan HCT 300/25mg Tab,DNP,0.2184,M,SF,ARO,Y
C09DA06,candesartan 16mg & hydrochlorothiazide 12.5mg tab,02244021,Atacand Plus 16/12.5mg Tab,DNP,0.2156,M,SF,AZE,Y
C09DA06,candesartan 16mg & hydrochlorothiazide 12.5mg tab,02327902,Sandoz Candesartan Plus 16/12.5mg Tab,DNP,0.2156,M,SF,SDZ,Y
C09DA06,candesartan 16mg & hydrochlorothiazide 12.5mg tab,02391295,pms-Candesartan HCTZ 16/12.5mg Tab,DNP,0.2156,M,SF,PMS,Y
C09DA06,candesartan 16mg & hydrochlorothiazide 12.5mg tab,02394804,Candesartan/HCTZ 16/12.5mg Tab,DNP,0.2156,M,SF,SAS,Y
C09DA06,candesartan 16mg & hydrochlorothiazide 12.5mg tab,02394812,Candesartan HCT-16/12.5mg Tab,DNP,0.2156,M,SF,SIV,Y
C09DA06,candesartan 16mg & hydrochlorothiazide 12.5mg tab,02395541,Teva-Candesartan/HCTZ 16/12.5mg Tab,DNP,0.2156,M,SF,TEV,Y
C09DA06,candesartan 16mg & hydrochlorothiazide 12.5mg tab,02421038,Auro-Candesartan HCT 16/12.5mg Tab,DNP,0.2156,M,SF,ARO,Y
C09DA06,candesartan 16mg & hydrochlorothiazide 12.5mg tab,02473240,Jamp-Candesartan HCT 16mg/12.5mg Tab,DNP,0.2156,M,SF,JPC,Y
C09DA06,candesartan 32mg & hydrochlorothiazide 12.5mg tab,02332922,Atacand Plus 32/12.5mg Tab,DNP,0.2156,M,SF,AZE,Y
C09DA06,candesartan 32mg & hydrochlorothiazide 12.5mg tab,02395568,Teva-Candesartan/HCTZ 32/12.5mg Tab,DNP,0.2156,M,SF,TEV,Y
C09DA06,candesartan 32mg & hydrochlorothiazide 12.5mg tab,02420732,Sandoz Candesartan Plus 32/12.5mg Tab,DNP,0.2156,M,SF,SDZ,Y
C09DA06,candesartan 32mg & hydrochlorothiazide 12.5mg tab,02421046,Auro-Candesartan HCT 32/12.5mg Tab,DNP,0.2156,M,SF,ARO,Y
C09DA06,candesartan 32mg & hydrochlorothiazide 12.5mg tab,02473259,Jamp-Candesartan HCT 32mg/12.5mg Tab,DNP,0.2156,M,SF,JPC,Y
C09DA06,candesartan 32mg & hydrochlorothiazide 25mg tab,02332957,Atacand Plus 32/25mg Tab,DNP,0.3047,M,SF,AZE,Y
C09DA06,candesartan 32mg & hydrochlorothiazide 25mg tab,02420740,Sandoz Candesartan Plus 32/25mg Tab,DNP,0.3047,M,SF,SDZ,Y
C09DA06,candesartan 32mg & hydrochlorothiazide 25mg tab,02421054,Auro-Candesartan HCT 32/25mg Tab,DNP,0.3047,M,SF,ARO,Y
C09DA06,candesartan 32mg & hydrochlorothiazide 25mg tab,02473267,Jamp-Candesartan HCT 32mg/25mg Tab,DNP,0.3047,M,SF,JPC,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 12.5mg tab,02244344,Micardis Plus 80/12.5mg Tab,DNP,0.2098,M,SF,BOE,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 12.5mg tab,02330288,Teva-Telmisartan HCTZ 80/12.5mg tab,DNP,0.2098,M,SF,TEV,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 12.5mg tab,02390302,Telmisartan HCTZ-80mg/12.5mg Tab,DNP,0.2098,M,SF,SIV,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 12.5mg tab,02393557,Sandoz Telmisartan HCT 80/12.5mg Tab,DNP,0.2098,M,SF,SDZ,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 12.5mg tab,02395355,Telmisartan/HCTZ 80/12.5mg Tab,DNP,0.2098,M,SF,SAS,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 12.5mg tab,02419114,ACH-Telmisartan HCTZ 80/12.5mg Tab,DNP,0.2098,M,SF,AHI,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 12.5mg tab,02456389,Auro-Telmisartan HCTZ 80mg/12.5mg Tab,DNP,0.2098,M,SF,ARO,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 25mg tab,02318709,Micardis Plus 80/25mg Tab,DNP,0.2098,M,SF,BOE,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 25mg tab,02379252,Teva-Telmisartan HCTZ 80/25mg tab,DNP,0.2098,M,SF,TEV,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 25mg tab,02390310,Telmisartan HCTZ-80mg/25mg Tab,DNP,0.2098,M,SF,SIV,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 25mg tab,02393565,Sandoz Telmisartan HCT 80/25mg Tab,DNP,0.2098,M,SF,SDZ,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 25mg tab,02395363,Telmisartan/HCTZ 80/25mg Tab,DNP,0.2098,M,SF,SAS,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 25mg tab,02419122,ACH-Telmisartan HCTZ 80/25mg Tab,DNP,0.2098,M,SF,AHI,Y
C09DA07,telmisartan 80mg & hydrochlorothiazide 25mg tab,02456397,Auro-Telmisartan HCTZ 80mg/25mg Tab,DNP,0.2098,M,SF,ARO,Y
C09DA08,olmesartan medoxomil 20mg & hydrochlorothiazide 12.5mg tab,02319616,Olmetec Plus 20mg/12.5mg Tab,DNP,0.3019,M,SF,FRS,Y
C09DA08,olmesartan medoxomil 20mg & hydrochlorothiazide 12.5mg tab,02443112,ACT Olmesartan HCT 20mg/12.5mg Tab,DNP,0.3019,M,SF,ATV,Y
C09DA08,olmesartan medoxomil 20mg & hydrochlorothiazide 12.5mg tab,02453606,Apo-Olmesartan/HCTZ 20mg/12.5mg Tab,DNP,0.3019,M,SF,APX,Y
C09DA08,olmesartan medoxomil 20mg & hydrochlorothiazide 12.5mg tab,02468948,ACH-Olmesartan HCTZ 20mg/12.5mg Tab,DNP,0.3019,M,SF,AHI,Y
C09DA08,olmesartan medoxomil 40mg & hydrochlorothiazide 12.5mg tab,02319624,Olmetec Plus 40mg/12.5mg Tab,DNP,0.3019,M,SF,FRS,Y
C09DA08,olmesartan medoxomil 40mg & hydrochlorothiazide 12.5mg tab,02443120,ACT Olmesartan HCT 40mg/12.5mg Tab,DNP,0.3019,M,SF,ATV,Y
C09DA08,olmesartan medoxomil 40mg & hydrochlorothiazide 12.5mg tab,02453614,Apo-Olmesartan/HCTZ 40mg/12.5mg Tab,DNP,0.3019,M,SF,APX,Y
C09DA08,olmesartan medoxomil 40mg & hydrochlorothiazide 12.5mg tab,02468956,ACH-Olmesartan HCTZ 40mg/12.5mg Tab,DNP,0.3019,M,SF,AHI,Y
C09DA08,olmesartan medoxomil 40mg & hydrochlorothiazide 25mg tab,02319632,Olmetec Plus 40mg/25mg Tab,DNP,0.3019,M,SF,FRS,Y
C09DA08,olmesartan medoxomil 40mg & hydrochlorothiazide 25mg tab,02443139,ACT Olmesartan HCT 40mg/25mg Tab,DNP,0.3019,M,SF,ATV,Y
C09DA08,olmesartan medoxomil 40mg & hydrochlorothiazide 25mg tab,02453622,Apo-Olmesartan/HCTZ 40mg/25mg Tab,DNP,0.3019,M,SF,APX,Y
C09DA08,olmesartan medoxomil 40mg & hydrochlorothiazide 25mg tab,02468964,ACH-Olmesartan HCTZ 40mg/25mg Tab,DNP,0.3019,M,SF,AHI,Y
C09DA99,,02397749,Edarbyclor 40/12.5mg Tab,,,,,BSL,N
C09DA99,,02397757,Edarbyclor 80/12.5mg Tab,,,,,BSL,N
C09DA99,,02397765,Edarbyclor 40/25mg Tab,,,,,BSL,N
C09DB04,,02371022,Twynsta 40/5mg Tab,DNP,0.7296,L,SF,BOE,N
C09DB04,,02371030,Twynsta 40/10mg Tab,DNP,0.7296,L,SF,BOE,N
C09DB04,,02371049,Twynsta 80/5mg Tab,DNP,0.7296,L,SF,BOE,N
C09DB04,,02371057,Twynsta 80/10mg Tab,DNP,0.7296,L,SF,BOE,N
C09DX04,,02446928,Entresto 24.3mg/25.7mg Tab,DNP,3.706,L,E,NVR,N
C09DX04,,02446936,Entresto 48.6mg/51.4mg Tab,DNP,3.706,L,E,NVR,N
C09DX04,,02446944,Entresto 97.2mg/102.8mg Tab,DNP,3.706,L,E,NVR,N
C09XA02,,02302063,Rasilez 150mg Tab,,,,,NVR,N
C09XA02,,02302071,Rasilez 300mg Tab,,,,,NVR,N
C10AA01,simvastatin 10mg tab,00884332,Zocor 10mg Tab,DNP,0.2023,M,SF,FRS,Y
C10AA01,simvastatin 10mg tab,02247012,Apo-Simvastatin 10mg Tab,DNP,0.2023,M,SF,APX,Y
C10AA01,simvastatin 10mg tab,02250152,Novo-Simvastatin 10mg Tab,DNP,0.2023,M,SF,TEV,Y
C10AA01,simvastatin 10mg tab,02284731,Simvastatin 10mg Tab (discontinued),,,,,SAS,Y
C10AA01,simvastatin 10mg tab,02329158,RAN-Simvastatin 10mg Tab,DNP,0.2023,M,SF,RAN,Y
C10AA01,simvastatin 10mg tab,02372940,MINT-Simvastatin 10mg Tab,DNP,0.2023,M,SF,MNT,Y
C10AA01,simvastatin 10mg tab,02375044,Mar-Simvastatin 10mg Tab,DNP,0.2023,M,SF,MAR,Y
C10AA01,simvastatin 10mg tab,02375605,Jamp-Simvastatin 10mg Tab,DNP,0.2023,M,SF,JPC,Y
C10AA01,simvastatin 10mg tab,02386305,Simvastatin-10mg Tab,DNP,0.2023,M,SF,SIV,Y
C10AA01,simvastatin 10mg tab,02405156,Auro-Simvastatin 10mg Tab,DNP,0.2023,M,SF,ARO,Y
C10AA01,simvastatin 10mg tab,02469987,pharma-Simvastatin 10mg Tab,DNP,0.2023,M,SF,PMS,Y
C10AA01,simvastatin 20mg tab,00884340,Zocor 20mg Tab,DNP,0.2501,M,SF,FRS,Y
C10AA01,simvastatin 20mg tab,02247013,Apo-Simvastatin 20mg Tab,DNP,0.2501,M,SF,APX,Y
C10AA01,simvastatin 20mg tab,02250160,Novo-Simvastatin 20mg Tab,DNP,0.2501,M,SF,TEV,Y
C10AA01,simvastatin 20mg tab,02284758,Simvastatin 20mg Tab (discontinued),,,,,SAS,Y
C10AA01,simvastatin 20mg tab,02329166,RAN-Simvastatin 20mg Tab,DNP,0.2501,M,SF,RAN,Y
C10AA01,simvastatin 20mg tab,02372959,MINT-Simvastatin 20mg Tab,DNP,0.2501,M,SF,MNT,Y
C10AA01,simvastatin 20mg tab,02375052,Mar-Simvastatin 20mg Tab,DNP,0.2501,M,SF,MAR,Y
C10AA01,simvastatin 20mg tab,02375613,Jamp-Simvastatin 20mg Tab,DNP,0.2501,M,SF,JPC,Y
C10AA01,simvastatin 20mg tab,02386313,Simvastatin-20mg Tab,DNP,0.2501,M,SF,SIV,Y
C10AA01,simvastatin 20mg tab,02405164,Auro-Simvastatin 20mg Tab,DNP,0.2501,M,SF,ARO,Y
C10AA01,simvastatin 20mg tab,02469995,pharma-Simvastatin 20mg Tab,DNP,0.2501,M,SF,PMS,Y
C10AA01,simvastatin 40mg tab,00884359,Zocor 40mg Tab,DNP,0.2501,M,SF,FRS,Y
C10AA01,simvastatin 40mg tab,02247014,Apo-Simvastatin 40mg Tab,DNP,0.2501,M,SF,APX,Y
C10AA01,simvastatin 40mg tab,02250179,Teva-Simvastatin 40mg Tab,DNP,0.2501,M,SF,TEV,Y
C10AA01,simvastatin 40mg tab,02284766,Simvastatin 40mg Tab (discontinued),,,,,SAS,Y
C10AA01,simvastatin 40mg tab,02329174,RAN-Simvastatin 40mg Tab,DNP,0.2501,M,SF,RAN,Y
C10AA01,simvastatin 40mg tab,02372967,MINT-Simvastatin 40mg Tab,DNP,0.2501,M,SF,MNT,Y
C10AA01,simvastatin 40mg tab,02375060,Mar-Simvastatin 40mg Tab,DNP,0.2501,M,SF,MAR,Y
C10AA01,simvastatin 40mg tab,02375621,Jamp-Simvastatin 40mg Tab,DNP,0.2501,M,SF,JPC,Y
C10AA01,simvastatin 40mg tab,02386321,Simvastatin-40mg Tab,DNP,0.2501,M,SF,SIV,Y
C10AA01,simvastatin 40mg tab,02405172,Auro-Simvastatin 40mg Tab,DNP,0.2501,M,SF,ARO,Y
C10AA01,simvastatin 40mg tab,02470004,pharma-Simvastatin 40mg Tab,DNP,0.2501,M,SF,PMS,Y
C10AA01,simvastatin 5mg tab,00884324,Zocor 5mg Tab (discontinued),,,,,FRS,Y
C10AA01,simvastatin 5mg tab,02247011,Apo-Simvastatin 5mg Tab,DNP,0.1023,M,SF,APX,Y
C10AA01,simvastatin 5mg tab,02250144,Teva-Simvastatin 5mg Tab,DNP,0.1023,M,SF,TEV,Y
C10AA01,simvastatin 5mg tab,02284723,Simvastatin 5mg Tab (discontinued),,,,,SAS,Y
C10AA01,simvastatin 5mg tab,02329131,RAN-Simvastatin 5mg Tab,DNP,0.1023,M,SF,RAN,Y
C10AA01,simvastatin 5mg tab,02372932,MINT-Simvastatin 5mg Tab,DNP,0.1023,M,SF,MNT,Y
C10AA01,simvastatin 5mg tab,02375036,Mar-Simvastatin 5mg Tab,DNP,0.1023,M,SF,MAR,Y
C10AA01,simvastatin 5mg tab,02375591,Jamp-Simvastatin 5mg Tab,DNP,0.1023,M,SF,JPC,Y
C10AA01,simvastatin 5mg tab,02386291,Simvastatin-5mg Tab,DNP,0.1023,M,SF,SIV,Y
C10AA01,simvastatin 5mg tab,02405148,Auro-Simvastatin 5mg Tab,DNP,0.1023,M,SF,ARO,Y
C10AA01,simvastatin 5mg tab,02469979,pharma-Simvastatin 5mg Tab,DNP,0.1023,M,SF,PMS,Y
C10AA01,simvastatin 80mg tab,02240332,Zocor 80mg Tab (discontinued),,,,,FRS,Y
C10AA01,simvastatin 80mg tab,02247015,Apo-Simvastatin 80mg Tab,DNP,0.2501,M,SF,APX,Y
C10AA01,simvastatin 80mg tab,02250187,Teva-Simvastatin 80mg Tab,DNP,0.2501,M,SF,TEV,Y
C10AA01,simvastatin 80mg tab,02284774,Simvastatin 80mg Tab (discontinued),,,,,SAS,Y
C10AA01,simvastatin 80mg tab,02329182,RAN-Simvastatin 80mg Tab,DNP,0.2501,M,SF,RAN,Y
C10AA01,simvastatin 80mg tab,02372975,MINT-Simvastatin 80mg Tab,DNP,0.2501,M,SF,MNT,Y
C10AA01,simvastatin 80mg tab,02375079,Mar-Simvastatin 80mg Tab,DNP,0.2501,M,SF,MAR,Y
C10AA01,simvastatin 80mg tab,02375648,Jamp-Simvastatin 80mg Tab,DNP,0.2501,M,SF,JPC,Y
C10AA01,simvastatin 80mg tab,02386348,Simvastatin-80mg Tab,DNP,0.2501,M,SF,SIV,Y
C10AA01,simvastatin 80mg tab,02405180,Auro-Simvastatin 80mg Tab,DNP,0.2501,M,SF,ARO,Y
C10AA01,simvastatin 80mg tab,02470012,pharma-Simvastatin 80mg Tab,DNP,0.2501,M,SF,PMS,Y
C10AA02,lovastatin 20mg tab,00795860,Mevacor 20mg Tab (discontinued),,,,,FRS,Y
C10AA02,lovastatin 20mg tab,02220172,Apo-Lovastatin 20mg Tab,DNP,0.5165,M,SF,APX,Y
C10AA02,lovastatin 20mg tab,02248572,CO Lovastatin 20mg Tab,DNP,0.5165,M,SF,ATV,Y
C10AA02,lovastatin 20mg tab,02353229,Lovastatin 20mg Tab,DNP,0.5165,M,SF,SAS,Y
C10AA02,lovastatin 40mg tab,00795852,Mevacor 40mg Tab (discontinued),,,,,FRS,Y
C10AA02,lovastatin 40mg tab,02220180,Apo-Lovastatin 40mg Tab,DNP,0.9434,M,SF,APX,Y
C10AA02,lovastatin 40mg tab,02248573,CO Lovastatin 40mg Tab,DNP,0.9434,M,SF,ATV,Y
C10AA02,lovastatin 40mg tab,02353237,Lovastatin 40mg Tab,DNP,0.9434,M,SF,SAS,Y
C10AA03,pravastatin 10mg tab,00893749,Pravachol 10mg Tab (discontinued),,,,,BRI,Y
C10AA03,pravastatin 10mg tab,02243506,Apo-Pravastatin 10mg Tab,DNP,0.2916,M,SF,APX,Y
C10AA03,pravastatin 10mg tab,02247008,Teva-Pravastatin 10mg Tab,DNP,0.2916,M,SF,TEV,Y
C10AA03,pravastatin 10mg tab,02247655,pms-Pravastatin 10mg Tab,DNP,0.2916,M,SF,PMS,Y
C10AA03,pravastatin 10mg tab,02284421,RAN-Pravastatin 10mg Tab,DNP,0.2916,M,SF,RAN,Y
C10AA03,pravastatin 10mg tab,02317451,MINT-Pravastatin 10mg Tab,DNP,0.2916,M,SF,MNT,Y
C10AA03,pravastatin 10mg tab,02330954,Jamp-Pravastatin 10mg Tab,DNP,0.2916,M,SF,JPC,Y
C10AA03,pravastatin 10mg tab,02356546,Pravastatin 10mg Tab (SAS),DNP,0.2916,M,SF,SAS,Y
C10AA03,pravastatin 10mg tab,02389703,Pravastatin-10mg,DNP,0.2916,M,SF,SIV,Y
C10AA03,pravastatin 10mg tab,02432048,Mar-Pravastatin 10mg Tab,DNP,0.2916,M,SF,MAR,Y
C10AA03,pravastatin 10mg tab,02458977,Auro-Pravastatin 10mg Tab,DNP,0.2916,M,SF,ARO,Y
C10AA03,pravastatin 10mg tab,02468700,Sandoz Pravastatin 10mg Tab,DNP,0.2916,M,SF,SDZ,Y
C10AA03,pravastatin 20mg tab,00893757,Pravachol 20mg Tab,DNP,0.344,M,SF,BRI,Y
C10AA03,pravastatin 20mg tab,02243507,Apo-Pravastatin 20mg Tab,DNP,0.344,M,SF,APX,Y
C10AA03,pravastatin 20mg tab,02247009,Teva-Pravastatin 20mg Tab,DNP,0.344,M,SF,TEV,Y
C10AA03,pravastatin 20mg tab,02247656,pms-Pravastatin 20mg Tab,DNP,0.344,M,SF,PMS,Y
C10AA03,pravastatin 20mg tab,02284448,RAN-Pravastatin 20mg Tab,DNP,0.344,M,SF,RAN,Y
C10AA03,pravastatin 20mg tab,02317478,MINT-Pravastatin 20mg Tab,DNP,0.344,M,SF,MNT,Y
C10AA03,pravastatin 20mg tab,02330962,Jamp-Pravastatin 20mg Tab,DNP,0.344,M,SF,JPC,Y
C10AA03,pravastatin 20mg tab,02356554,Pravastatin 20mg Tab (SAS),DNP,0.344,M,SF,SAS,Y
C10AA03,pravastatin 20mg tab,02389738,Pravastatin-20mg Tab,DNP,0.344,M,SF,SIV,Y
C10AA03,pravastatin 20mg tab,02432056,Mar-Pravastatin 20mg Tab,DNP,0.344,M,SF,MAR,Y
C10AA03,pravastatin 20mg tab,02458985,Auro-Pravastatin 20mg Tab,DNP,0.344,M,SF,ARO,Y
C10AA03,pravastatin 20mg tab,02468719,Sandoz Pravastatin 20mg Tab,DNP,0.344,M,SF,SDZ,Y
C10AA03,pravastatin 40mg tab,02222051,Pravachol 40mg Tab,DNP,0.4143,M,SF,BRI,Y
C10AA03,pravastatin 40mg tab,02243508,Apo-Pravastatin 40mg Tab,DNP,0.4143,M,SF,APX,Y
C10AA03,pravastatin 40mg tab,02247010,Teva-Pravastatin 40mg Tab,DNP,0.4143,M,SF,TEV,Y
C10AA03,pravastatin 40mg tab,02247657,pms-Pravastatin 40mg Tab,DNP,0.4143,M,SF,PMS,Y
C10AA03,pravastatin 40mg tab,02284456,RAN-Pravastatin 40mg Tab,DNP,0.4143,M,SF,RAN,Y
C10AA03,pravastatin 40mg tab,02317486,MINT-Pravastatin 40mg Tab,DNP,0.4143,M,SF,MNT,Y
C10AA03,pravastatin 40mg tab,02330970,Jamp-Pravastatin 40mg Tab,DNP,0.4143,M,SF,JPC,Y
C10AA03,pravastatin 40mg tab,02356562,Pravastatin 40mg Tab (SAS),DNP,0.4143,M,SF,SAS,Y
C10AA03,pravastatin 40mg tab,02389746,Pravastatin-40mg Tab,DNP,0.4143,M,SF,SIV,Y
C10AA03,pravastatin 40mg tab,02432064,Mar-Pravastatin 40mg Tab,DNP,0.4143,M,SF,MAR,Y
C10AA03,pravastatin 40mg tab,02458993,Auro-Pravastatin 40mg Tab,DNP,0.4143,M,SF,ARO,Y
C10AA03,pravastatin 40mg tab,02468727,Sandoz Pravastatin 40mg Tab,DNP,0.4143,M,SF,SDZ,Y
C10AA04,fluvastatin 20mg cap,02061562,Lescol 20mg Cap (discontinued),,,,,NVR,Y
C10AA04,fluvastatin 20mg cap,02299224,Teva-Fluvastatin 20mg Cap,DNP,0.3155,M,SF,TEV,Y
C10AA04,fluvastatin 40mg cap,02061570,Lescol 40mg Cap (discontinued),,,,,NVR,Y
C10AA04,fluvastatin 40mg cap,02299232,Teva-Fluvastatin 40mg Cap,DNP,0.4433,M,SF,TEV,Y
C10AA04,,02250527,Lescol XL 80mg Cap,DNP,1.6225,L,SF,NVR,N
C10AA05,atorvastatin 10mg tab,02230711,Lipitor 10mg Tab,DNP,0.1743,M,SF,PFI,Y
C10AA05,atorvastatin 10mg tab,02295261,Apo-Atorvastatin 10mg Tab,DNP,0.1743,M,SF,APX,Y
C10AA05,atorvastatin 10mg tab,02310899,CO Atorvastatin 10mg Tab,DNP,0.1743,M,SF,ATV,Y
C10AA05,atorvastatin 10mg tab,02313707,RAN-Atorvastatin 10mg Tab,DNP,0.1743,M,SF,RAN,Y
C10AA05,atorvastatin 10mg tab,02324946,Sandoz Atorvastatin 10mg Tab,DNP,0.1743,M,SF,SDZ,Y
C10AA05,atorvastatin 10mg tab,02391058,Jamp-Atorvastatin 10mg Tab,DNP,0.1743,M,SF,JPC,Y
C10AA05,atorvastatin 10mg tab,02392933,MYLAN-Atorvastatin 10mg Tab,DNP,0.1743,M,SF,MYL,Y
C10AA05,atorvastatin 10mg tab,02399377,pms-Atorvastatin 10mg Tab,DNP,0.1743,M,SF,PMS,Y
C10AA05,atorvastatin 10mg tab,02407256,Auro-Atorvastatin 10mg Tab,DNP,0.1743,M,SF,ARO,Y
C10AA05,atorvastatin 10mg tab,02411350,Atorvastatin-10mg Tab,DNP,0.1743,M,SF,SIV,Y
C10AA05,atorvastatin 10mg tab,02454017,Mar-Atorvastatin 10mg Tab,DNP,0.1743,M,SF,MAR,Y
C10AA05,atorvastatin 10mg tab,02457741,ACH-Atorvastatin 10mg Tab,DNP,0.1743,M,SF,AHI,Y
C10AA05,atorvastatin 20mg tab,02230713,Lipitor 20mg Tab,DNP,0.2179,M,SF,PFI,Y
C10AA05,atorvastatin 20mg tab,02295288,Apo-Atorvastatin 20mg Tab,DNP,0.2179,M,SF,APX,Y
C10AA05,atorvastatin 20mg tab,02310902,CO Atorvastatin 20mg Tab,DNP,0.2179,M,SF,ATV,Y
C10AA05,atorvastatin 20mg tab,02313715,RAN-Atorvastatin 20mg Tab,DNP,0.2179,M,SF,RAN,Y
C10AA05,atorvastatin 20mg tab,02324954,Sandoz Atorvastatin 20mg Tab,DNP,0.2179,M,SF,SDZ,Y
C10AA05,atorvastatin 20mg tab,02391066,Jamp-Atorvastatin 20mg Tab,DNP,0.2179,M,SF,JPC,Y
C10AA05,atorvastatin 20mg tab,02392941,MYLAN-Atorvastatin 20mg Tab,DNP,0.2179,M,SF,MYL,Y
C10AA05,atorvastatin 20mg tab,02399385,pms-Atorvastatin 20mg Tab,DNP,0.2179,M,SF,PMS,Y
C10AA05,atorvastatin 20mg tab,02407264,Auro-Atorvastatin 20mg Tab,DNP,0.2179,M,SF,ARO,Y
C10AA05,atorvastatin 20mg tab,02411369,Atorvastatin-20mg Tab,DNP,0.2179,M,SF,SIV,Y
C10AA05,atorvastatin 20mg tab,02454025,Mar-Atorvastatin 20mg Tab,DNP,0.2179,M,SF,MAR,Y
C10AA05,atorvastatin 20mg tab,02457768,ACH-Atorvastatin 20mg Tab,DNP,0.2179,M,SF,AHI,Y
C10AA05,atorvastatin 40mg tab,02230714,Lipitor 40mg Tab,DNP,0.2342,M,SF,PFI,Y
C10AA05,atorvastatin 40mg tab,02295296,Apo-Atorvastatin 40mg Tab,DNP,0.2342,M,SF,APX,Y
C10AA05,atorvastatin 40mg tab,02310910,CO Atorvastatin 40mg Tab,DNP,0.2342,M,SF,ATV,Y
C10AA05,atorvastatin 40mg tab,02313723,RAN-Atorvastatin 40mg Tab,DNP,0.2342,M,SF,RAN,Y
C10AA05,atorvastatin 40mg tab,02324962,Sandoz Atorvastatin 40mg Tab,DNP,0.2342,M,SF,SDZ,Y
C10AA05,atorvastatin 40mg tab,02391074,Jamp-Atorvastatin 40mg Tab,DNP,0.2342,M,SF,JPC,Y
C10AA05,atorvastatin 40mg tab,02392968,MYLAN-Atorvastatin 40mg Tab,DNP,0.2342,M,SF,MYL,Y
C10AA05,atorvastatin 40mg tab,02399393,pms-Atorvastatin 40mg Tab,DNP,0.2342,M,SF,PMS,Y
C10AA05,atorvastatin 40mg tab,02407272,Auro-Atorvastatin 40mg Tab,DNP,0.2342,M,SF,ARO,Y
C10AA05,atorvastatin 40mg tab,02411377,Atorvastatin-40mg Tab,DNP,0.2342,M,SF,SIV,Y
C10AA05,atorvastatin 40mg tab,02454033,Mar-Atorvastatin 40mg Tab,DNP,0.2342,M,SF,MAR,Y
C10AA05,atorvastatin 40mg tab,02457776,ACH-Atorvastatin 40mg Tab,DNP,0.2342,M,SF,AHI,Y
C10AA05,atorvastatin 80mg tab,02243097,Lipitor 80mg Tab,DNP,0.2342,M,SF,PFI,Y
C10AA05,atorvastatin 80mg tab,02295318,Apo-Atorvastatin 80mg Tab,DNP,0.2342,M,SF,APX,Y
C10AA05,atorvastatin 80mg tab,02310929,CO Atorvastatin 80mg Tab,DNP,0.2342,M,SF,ATV,Y
C10AA05,atorvastatin 80mg tab,02313758,RAN-Atorvastatin 80mg Tab,DNP,0.2342,M,SF,RAN,Y
C10AA05,atorvastatin 80mg tab,02324970,Sandoz Atorvastatin 80mg Tab,DNP,0.2342,M,SF,SDZ,Y
C10AA05,atorvastatin 80mg tab,02391082,Jamp-Atorvastatin 80mg Tab,DNP,0.2342,M,SF,JPC,Y
C10AA05,atorvastatin 80mg tab,02392976,MYLAN-Atorvastatin 80mg Tab,DNP,0.2342,M,SF,MYL,Y
C10AA05,atorvastatin 80mg tab,02399407,pms-Atorvastatin 80mg Tab,DNP,0.2342,M,SF,PMS,Y
C10AA05,atorvastatin 80mg tab,02407280,Auro-Atorvastatin 80mg Tab,DNP,0.2342,M,SF,ARO,Y
C10AA05,atorvastatin 80mg tab,02411385,Atorvastatin-80mg Tab,DNP,0.2342,M,SF,SIV,Y
C10AA05,atorvastatin 80mg tab,02454041,Mar-Atorvastatin 80mg Tab,DNP,0.2342,M,SF,MAR,Y
C10AA05,atorvastatin 80mg tab,02457784,ACH-Atorvastatin 80mg Tab,DNP,0.2342,M,SF,AHI,Y
C10AA07,rosuvastatin 10mg tab,02247162,Crestor 10mg Tab,DNP,0.1354,M,SF,AZE,Y
C10AA07,rosuvastatin 10mg tab,02337983,Apo-Rosuvastatin 10mg Tab,DNP,0.1354,M,SF,APX,Y
C10AA07,rosuvastatin 10mg tab,02338734,Sandoz Rosuvastatin 10mg Tab,DNP,0.1354,M,SF,SDZ,Y
C10AA07,rosuvastatin 10mg tab,02354616,Teva-Rosuvastatin 10mg Tab,DNP,0.1354,M,SF,TEV,Y
C10AA07,rosuvastatin 10mg tab,02378531,pms-Rosuvastatin 10mg Tab,DNP,0.1354,M,SF,PMS,Y
C10AA07,rosuvastatin 10mg tab,02382652,RAN-Rosuvastatin 10mg Tab,DNP,0.1354,M,SF,RAN,Y
