Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
2018_q3,,Hip Replacement,,Zone 4,Dartmouth General,2018,3,50,431,142,324
2018_q1,,Ear Tubes  (Pediatric),,Zone 3,Cape Breton Regional,2018,1,28,91,14,25
2017_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 1,South Shore Regional,2017,4,26,36,47,90
2018_q4,,Hernia Repair - Inguinal/Femoral,,Zone 2,Aberdeen Hospital,2018,4,,,75,96
2017_q4,,Knee Scope,,IWK,IWK,2017,4,,,87,103
2018_q4,,Craniotomy or Craniectomy,,Zone 4,QE2,2018,4,,,53,98
2019_q2,,Cervical Spine (Neck) Surgery,,Total,Provincial,2019,2,61,341,72,228
2019_q4,,Hernia Repair  (Adult),,Total,Provincial,2019,4,70,259,76,232
2019_q2,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 1,Valley Regional,2019,2,,,160,251
12month_rolling,General Surgery,Hernia Repair - Incisional,"Archibald, Alison",,,,,82,267,52,456
2018_q4,,Bowel Resection - Laparoscopic,,Zone 1,Valley Regional,2018,4,22,63,43,117
12month_rolling,General Surgery,Hernia Repair - Incisional,"Hyun, Eric",,,,,59,86,196,205
2018_q1,,Shoulder Arthroscopy,,Zone 1,South Shore Regional,2018,1,59,244,84,254
2019_q2,,Thyroid or Parathyroid Surgery,,Total,Provincial,2019,2,27,169,45,125
2018_q3,,Shoulder Arthroscopy,,Zone 4,Dartmouth General,2018,3,96,358,75,253
12month_rolling,Orthopaedic,Carpal Tunnel Surgery,"Sequeira, Stanislaus",,,,,46,101,53,126
2018_q4,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Inverness Consolidated Memorial,2018,4,,,126,232
2018_q4,,Back Surgery  (Adult),,Total,Provincial,2018,4,80,316,71,191
12month_rolling,General Surgery,Bowel Resection,"Kelly, Ryan Patrick",,,,,25,141,37,78
12month_rolling,,Prostate Surgery - Laparoscopic,,Total,Provincial,2019,4,21,51,57,105
3month_rolling,,Functional Endoscopic Sinus Surgery (FESS),,Zone 1,Valley Regional,2019,4,,,185,385
2019_q4,,Maxillofacial Deformity Surgery,,Zone 4,Dartmouth General,2019,4,,,410,545
2019_q3,,Pelvic Floor Repair,,Zone 2,Colchester East Hants Health Centre,2019,3,,,65,206
2019_q3,,Hernia Repair  (Pediatric),,Total,Provincial,2019,3,13,47,84,140
12month_rolling,Orthopaedic,Hip Replacement,"Hurley, Richard",,,,,14,35,162,274
2018_q3,,Male Circumcision  (Pediatric),,Total,Provincial,2018,3,29,45,131,255
12month_rolling,General Surgery,All,"MacDonald, Blair",,,,,68,167,22,89
2019_q1,,Vascular Bypass Surgery,,Zone 1,Valley Regional,2019,1,38,50,,
2018_q2,,Cystoscopy,,Zone 3,Cape Breton Regional,2018,2,44,203,25,154
12month_rolling,,Bone / Cartilage Graft,,Total,Provincial,2019,4,45,103,66,202
2019_q3,,Gastrointestinal Tract Surgery,,Zone 2,Colchester East Hants Health Centre,2019,3,27,44,48,83
12month_rolling,Thoracic Surgery,All,"Mujoomdar, Aneil Arvind",,,,,25,50,22,62
12month_rolling,General Surgery,Hernia Repair  (Adult),"Shih, Warren W",,,,,80,133,79,216
2019_q1,,Septoplasty,,Zone 1,Valley Regional,2019,1,,,140,243
12month_rolling,Urology,Male Circumcision  (Adult),"Asim, Hammad",,,,,73,145,76,161
2019_q2,,Shoulder Arthroscopy,,Zone 1,Valley Regional,2019,2,77,434,209,361
2019_q2,,Liver Surgery,,Total,Provincial,2019,2,13,28,26,65
2019_q2,,Vascular Bypass Surgery,,Total,Provincial,2019,2,17,86,62,215
2019_q2,,Carpal Tunnel Surgery,,Zone 1,South Shore Regional,2019,2,38,413,99,254
3month_rolling,,Hernia Repair - Incisional,,Zone 4,QE2,2019,4,336,399,161,355
2018_q4,,Spinal Cord Stimulation Surgery,,Total,Provincial,2018,4,,,52,366
12month_rolling,General Surgery,Gallbladder Surgery,"Clark, F Donald",,,,,22,83,58,114
2018_q3,,Strabismus Surgery  (Adult),,Total,Provincial,2018,3,259,697,269,449
2018_q1,,Tendon / Ligament Repair,,IWK,IWK,2018,1,,,36,111
2018_q4,,Liver Surgery,,Total,Provincial,2018,4,15,35,14,43
2019_q3,,Hernia Repair  (Adult),,Zone 4,QE2,2019,3,149,273,157,799
12month_rolling,General Surgery,Gastric Surgery,"Davies, Dafydd Alexander",,,,,38,42,58,164
2018_q4,,Male Circumcision  (Adult),,Zone 2,Colchester East Hants Health Centre,2018,4,,,78,222
12month_rolling,Obstetrics/Gynaecology,All,"Osasere, Michael",,,,,29,64,24,80
12month_rolling,Orthopaedic,Foot - Bunionectomy,"Howatt, Eric",,,,,33,362,211,236
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Helyer, Lucy K",,,,,17,46,26,40
2018_q2,,Bladder Cancer Surgery,,Zone 3,Cape Breton Regional,2018,2,,,27,90
12month_rolling,Plastic Surgery,Breast Reduction Surgery,"Morris, Steven F",,,,,5,10,176,446
2018_q4,,Ear Tubes  (Pediatric),,Zone 1,Valley Regional,2018,4,,,63,95
12month_rolling,Otolaryngology (ENT),Ear Tubes  (Adult),"Smith, Andrew Neil",,,,,119,140,113,219
2018_q4,,Bladder Cancer Surgery,,Zone 4,QE2,2018,4,22,92,27,103
2018_q4,,Functional Endoscopic Sinus Surgery (FESS),,Zone 4,Dartmouth General,2018,4,,,66,191
2017_q4,,Carpal Tunnel Surgery,,Total,Provincial,2017,4,38,202,48,163
2018_q1,,Hip Replacement Revision,,Zone 4,QE2,2018,1,,,28,172
2019_q4,,Cystoscopy,,Zone 1,South Shore Regional,2019,4,7,185,30,95
2017_q4,,Foot - Bunionectomy,,Total,Provincial,2017,4,129,209,147,294
2019_q1,,Hernia Repair - Laparoscopic Umbilical,,Total,Provincial,2019,1,74,127,,
2019_q2,,Carotid Endarterectomy,,Total,Provincial,2019,2,,,29,88
2019_q3,,Hernia Repair - Inguinal/Femoral,,Zone 2,Cumberland Regional,2019,3,60,133,61,244
2018_q3,,Aesthetic Surgery,,Total,Provincial,2018,3,56,244,64,152
2018_q4,,Breast Cancer Surgery,,Zone 3,St. Marthas Regional,2018,4,8,46,22,42
12month_rolling,Vascular Surgery,Vascular Bypass Surgery,"Davidson, Dion",,,,,35,53,53,175
12month_rolling,Oral Maxillofacial,Maxillofacial Deformity Surgery,"Goodday, Reginald",,,,,,,203,462
2017_q4,,Video-Assisted Thoracic Surgery,,Zone 4,QE2,2017,4,21,41,29,62
12month_rolling,Orthopaedic,Ankle - Arthrodesis,"Morash, Joel",,,,,88,179,114,685
2019_q3,,Foot - Arthrodesis,,Zone 4,QE2,2019,3,247,258,364,609
2019_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 4,QE2,2019,2,13,32,45,58
12month_rolling,General Surgery,Cystoscopy,"Romao, Rodrigo Luiz",,,,,32,68,47,162
2019_q3,,Gastric Surgery - Laparoscopic,,Total,Provincial,2019,3,62,457,30,694
2018_q4,,Lung Cancer Surgery,,Total,Provincial,2018,4,31,51,34,71
12month_rolling,Orthopaedic,Hip Replacement,"Dodd, Faith",,,,,26,67,59,98
2017_q4,,Hernia Repair - Umbilical,,Zone 4,QE2,2017,4,72,171,58,141
12month_rolling,Orthopaedic,Orthopaedic Trauma,"Trenholm, J Andrew I",,,,,20,100,55,441
2019_q2,,Cystoscopy,,Zone 4,Dartmouth General,2019,2,25,51,88,139
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Lamey, Alicia",,,,,29,41,21,31
3month_rolling,,Septoplasty,,Zone 1,Valley Regional,2019,4,,,314,392
2017_q4,,Colorectal Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2017,4,,,37,64
2018_q2,,Gallbladder Surgery,,Zone 2,Aberdeen Hospital,2018,2,51,77,36,82
2017_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 3,St. Marthas Regional,2017,4,,,90,256
2018_q4,,Colorectal Cancer Surgery,,Zone 4,Dartmouth General,2018,4,24,200,31,43
2018_q3,,Head and Neck Surgery,,Zone 4,QE2,2018,3,11,55,26,346
12month_rolling,Orthopaedic,All,"Urquhart, Nathan Alexander",,,,,30,167,63,282
2019_q3,,Breast Cancer Surgery,,IWK,IWK,2019,3,16,22,29,43
2017_q4,,Melanoma Excision,,Zone 4,QE2,2017,4,10,43,18,44
12month_rolling,General Surgery,Gastrointestinal Tract Surgery - Laparoscopic,"Nader, Nabil",,,,,21,40,20,26
12month_rolling,,Hernia Repair - Umbilical,,Zone 4,Dartmouth General,2019,4,106,287,91,331
2019_q1,,Osteotomy,,Total,Provincial,2019,1,55,129,162,351
12month_rolling,Urology,Male Circumcision  (Adult),"Puthenparumpil, Jacob",,,,,34,85,85,118
12month_rolling,Orthopaedic,Foot - Bunionectomy,"Glazebrook, Mark A",,,,,233,315,386,600
3month_rolling,,Gallbladder Surgery,,Zone 2,Aberdeen Hospital,2019,4,37,89,122,208
12month_rolling,General Surgery,Bariatric Surgery (for Weight Loss),"Ellsmere, James C",,,,,392,"3,241",39,63
2018_q1,,Orthopaedic Trauma,,IWK,IWK,2018,1,,,12,137
3month_rolling,,Nerve Surgery,,Zone 3,Northside General,2019,4,13,38,21,113
2019_q4,,Pelvic Floor Repair,,IWK,IWK,2019,4,125,295,153,223
12month_rolling,,AV Fistula Creation/Closure,,Zone 1,Valley Regional,2019,4,22,70,59,100
2019_q3,,Osteotomy,,Total,Provincial,2019,3,220,265,133,357
2019_q4,,Ear Tubes  (Pediatric),,Zone 3,St. Marthas Regional,2019,4,,,32,61
12month_rolling,General Surgery,Hernia Repair  (Adult),"Watson-Jessome, Jane",,,,,72,154,51,125
2019_q4,,Thyroid or Parathyroid Surgery,,Zone 2,Cumberland Regional,2019,4,76,144,36,79
2018_q3,,Orthopaedic Trauma,,IWK,IWK,2018,3,,,5,132
12month_rolling,Obstetrics/Gynaecology,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),"Hudgins, Sarah",,,,,32,86,87,167
12month_rolling,General Surgery,Gallbladder Surgery,"MacDonald, Blair",,,,,55,112,36,77
2018_q2,,Hernia Repair  (Pediatric),,IWK,IWK,2018,2,31,53,58,195
2019_q2,,Spinal Cord Stimulation Surgery,,Zone 4,QE2,2019,2,,,39,205
12month_rolling,Obstetrics/Gynaecology,Tubal Ligation,"Okuboyejo, Fazil",,,,,53,104,61,82
12month_rolling,,Head and Neck Surgery,,IWK,IWK,2019,4,13,65,90,282
2018_q2,,Surgery for Hearing or Balance Problems of the Ear,,IWK,IWK,2018,2,42,145,58,120
2019_q2,,Kidney Stone Surgery,,Zone 1,Valley Regional,2019,2,25,91,53,178
3month_rolling,,Knee Replacement Revision,,Zone 4,QE2,2019,4,,,138,542
12month_rolling,Oral Maxillofacial,Dental Extractions and Restorations  (Pediatric),"Cyr, Philip L",,,,,7,28,34,76
2019_q2,,Surgery for Hearing or Balance Problems of the Ear,,Zone 3,Cape Breton Regional,2019,2,23,65,28,70
12month_rolling,,Bowel Resection - Open,,Zone 1,South Shore Regional,2019,4,16,90,23,40
2019_q4,,Hernia Repair - Umbilical,,Zone 4,Dartmouth General,2019,4,106,293,90,366
2018_q3,,Oculo Plastic Surgery,,Zone 4,QE2,2018,3,113,638,48,161
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Redwan, Hani",,,,,36,121,27,174
3month_rolling,,Ear Tubes  (Pediatric),,Zone 3,Cape Breton Regional,2019,4,5,58,12,22
2019_q2,,Carpal Tunnel Surgery,,Zone 3,St. Marthas Regional,2019,2,58,199,53,97
2018_q1,,Ear Tubes  (Pediatric),,Total,Provincial,2018,1,32,147,33,68
2019_q1,,Prostate Surgery,,Zone 4,QE2,2019,1,28,96,36,110
12month_rolling,Ophthalmology,All,"George, Stanley",,,,,36,64,75,238
2018_q2,,Knee Scope,,Zone 4,QE2,2018,2,89,225,103,266
12month_rolling,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 4,Hants Community Hospital,2019,4,59,297,98,389
2019_q2,,Strabismus Surgery  (Pediatric),,Total,Provincial,2019,2,160,"1,536",90,379
12month_rolling,Urology,Prostate Surgery,"Massaro, Peter",,,,,32,81,79,160
2019_q2,,Brain Surgery  (Pediatric),,Total,Provincial,2019,2,,,16,80
2018_q4,,Palmar Fascia Excision for Dupuytren's Disease,,Zone 4,QE2,2018,4,,,41,176
2018_q1,,Breast Reconstruction,,Total,Provincial,2018,1,267,548,92,330
2019_q3,,Prostate Surgery,,Zone 4,QE2,2019,3,35,87,69,185
2018_q2,,Knee Replacement - Partial,,Zone 2,Aberdeen Hospital,2018,2,,,407,521
12month_rolling,,Ankle - Arthroscopy,,Total,Provincial,2019,4,133,270,164,591
12month_rolling,,Patella Surgery,,IWK,IWK,2019,4,,,157,280
2018_q2,,AV Fistula Creation/Closure,,Zone 4,QE2,2018,2,28,35,29,118
12month_rolling,General Surgery,Pancreas Surgery,"Hiebert, Stephanie",,,,,12,21,17,48
12month_rolling,Orthopaedic,Knee Replacement,"O'Brien, David A",,,,,78,129,254,412
12month_rolling,Thoracic Surgery,Gastric Surgery - Laparoscopic,"Mujoomdar, Aneil Arvind",,,,,44,77,15,367
2019_q3,,Knee Scope,,Zone 2,Aberdeen Hospital,2019,3,52,100,54,172
12month_rolling,Ophthalmology,All,"Orr, Andrew C",,,,,29,64,38,91
12month_rolling,Cardiac Surgery,Pacemaker Insertion,"Hirsch, Gregory M",,,,,,,12,37
2017_q4,,Knee Scope with ACL Repair,,Zone 4,Hants Community Hospital,2017,4,85,114,,
2018_q3,,Temperomandibular Joint Surgery (TMJ),,Zone 4,QE2,2018,3,128,242,104,380
2019_q3,,Amputations,,Total,Provincial,2019,3,43,258,12,56
2019_q3,,Gastrointestinal Tract Surgery,,Zone 1,Yarmouth Regional,2019,3,,,32,171
2019_q1,,Bladder Surgery,,Zone 4,QE2,2019,1,15,43,52,127
12month_rolling,General Surgery,Thyroid or Parathyroid Surgery,"Wasserman, Lukas",,,,,19,29,107,194
2019_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 2,Aberdeen Hospital,2019,4,112,255,85,135
2019_q4,,Knee Replacement,,Zone 4,Dartmouth General,2019,4,55,94,240,347
2019_q1,,Tendon / Ligament Repair,,IWK,IWK,2019,1,,,109,300
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Murdoch, John L",,,,,123,205,85,182
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Booth, John",,,,,27,34,33,50
2019_q3,,Bladder Surgery,,Zone 4,QE2,2019,3,23,41,36,55
12month_rolling,Oral Maxillofacial,Maxillofacial Deformity Surgery,"Ross, Ian W",,,,,4,38,371,416
2017_q4,,Hysteroscopy,,Zone 4,Dartmouth General,2017,4,41,122,55,144
12month_rolling,General Surgery,All,"Enright, Jonathan Boyde",,,,,100,658,111,305
12month_rolling,Plastic Surgery,Tendon / Ligament Repair,"Bezuhly, Michael",,,,,62,93,169,244
12month_rolling,General Surgery,Hernia Repair  (Pediatric),"Blackmore, Christopher",,,,,15,33,71,162
2018_q2,,Breast Cancer Surgery,,Zone 2,Aberdeen Hospital,2018,2,7,20,28,50
2018_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 3,Cape Breton Regional,2018,2,33,139,49,133
2019_q2,,Carpal Tunnel Surgery,,Zone 1,Valley Regional,2019,2,59,425,117,325
2018_q3,,Bowel Resection,,Total,Provincial,2018,3,28,106,28,117
12month_rolling,General Surgery,Bowel Resection - Open,"Smith, Philip Michael",,,,,17,90,41,76
2019_q3,,Hernia Repair - Incisional,,Zone 1,Valley Regional,2019,3,102,416,104,235
12month_rolling,Obstetrics/Gynaecology,Endometrial Ablation,"Joshi, Changulanda",,,,,113,174,86,142
2019_q4,,Bladder Cancer Surgery,,Zone 4,QE2,2019,4,12,69,25,47
2017_q4,,Hernia Repair  (Pediatric),,Total,Provincial,2017,4,29,40,67,108
2018_q1,,Cystoscopy,,Zone 1,Valley Regional,2018,1,37,156,31,114
2018_q2,,Knee Replacement,,Zone 4,Dartmouth General,2018,2,153,450,161,369
12month_rolling,Neurosurgery,Cervical Spine (Neck) Surgery,"Barry, Sean",,,,,45,103,72,218
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Hyun, Eric",,,,,49,117,39,177
2019_q3,,Knee Replacement - Partial,,Zone 4,Dartmouth General,2019,3,,,64,88
2018_q3,,Hernia Repair  (Adult),,Total,Provincial,2018,3,69,184,71,198
2018_q2,,Insertion Vascular Access Catheter,,Total,Provincial,2018,2,10,43,15,59
2018_q3,,Craniotomy or Craniectomy,,Zone 4,QE2,2018,3,,,48,81
2017_q4,,Kidney / Upper Urinary Tract,,Zone 3,Cape Breton Regional,2017,4,,,35,119
12month_rolling,General Surgery,Bowel Resection,"Gala Lopez, Boris",,,,,13,29,14,26
2019_q3,,Dental Extractions and Restorations  (Pediatric),,IWK,IWK,2019,3,175,385,199,440
12month_rolling,General Surgery,Hernia Repair - Laparoscopic Inguinal Femoral,"Joy, Edward",,,,,83,112,80,127
2019_q4,,Gastrointestinal Tract Surgery,,Total,Provincial,2019,4,32,114,43,211
2019_q2,,Cystoscopy,,Zone 4,QE2,2019,2,28,102,29,159
2018_q3,,Ear Tubes  (Pediatric),,Zone 1,Yarmouth Regional,2018,3,,,35,81
2017_q4,,Hernia Repair  (Adult),,Zone 4,QE2,2017,4,98,181,69,303
12month_rolling,General Surgery,Male Reproductive System Surgery,"Nader, Nabil",,,,,56,244,56,118
2018_q1,,Breast Cancer Surgery,,Zone 1,Yarmouth Regional,2018,1,6,15,10,25
3month_rolling,,Gallbladder Surgery,,Total,Provincial,2019,4,43,162,49,141
12month_rolling,Orthopaedic,Knee Replacement,"Smith, Thomas Duncan",,,,,56,99,130,190
2019_q4,,Thyroid or Parathyroid Surgery,,Zone 4,QE2,2019,4,29,112,83,542
12month_rolling,General Surgery,Bowel Resection - Open,"Proctor, Irma Joan",,,,,23,31,17,30
2019_q3,,Head and Neck Surgery,,Zone 4,QE2,2019,3,14,64,41,123
2019_q4,,Peritoneal Lavage or Catherization,,Zone 4,QE2,2019,4,13,21,12,41
2018_q4,,Kidney / Upper Urinary Tract,,Total,Provincial,2018,4,63,178,57,143
2019_q2,,Endometrial Ablation,,Zone 3,Northside General,2019,2,45,84,,
2018_q1,,Cystoscopy,,Zone 3,Cape Breton Regional,2018,1,20,184,20,251
2019_q4,,Bowel Resection - Laparoscopic,,Zone 4,QE2,2019,4,30,84,31,161
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Brooks, Melissa",,,,,44,168,52,146
12month_rolling,Orthopaedic,Orthopaedic Trauma,"El-Hawary, Rany",,,,,,,5,72
2019_q1,,Cystoscopy,,Total,Provincial,2019,1,35,160,33,125
2019_q3,,Gastric Surgery,,IWK,IWK,2019,3,,,29,77
12month_rolling,General Surgery,Bowel Resection - Open,"Stewart, Riley",,,,,17,37,23,32
12month_rolling,Urology,Prostate Surgery,"Mason, Ross",,,,,36,141,50,130
12month_rolling,General Surgery,All,"Klassen, Dennis R",,,,,86,298,60,244
2019_q3,,Cystoscopy,,Total,Provincial,2019,3,24,147,33,141
2018_q3,,Bladder Cancer Surgery,,Zone 1,South Shore Regional,2018,3,,,54,99
12month_rolling,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 4,Dartmouth General,2019,4,122,394,125,287
12month_rolling,Orthopaedic,All,"Tucker, Allison",,,,,26,49,55,83
2018_q2,,Thyroid or Parathyroid Surgery,,Zone 4,QE2,2018,2,34,102,78,324
2019_q4,,Endarterectomy,,Zone 4,QE2,2019,4,,,34,96
12month_rolling,,Gastric Surgery - Laparoscopic,,Zone 4,QE2,2019,4,68,316,49,518
2019_q3,,Septoplasty,,Zone 3,St. Marthas Regional,2019,3,65,96,50,76
2018_q2,,Bowel Resection - Laparoscopic,,Zone 4,QE2,2018,2,42,282,48,190
2018_q3,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 3,Cape Breton Regional,2018,3,84,215,71,120
12month_rolling,,Wound Management,,IWK,IWK,2019,4,,,7,238
2019_q4,,Liver Surgery,,Zone 4,QE2,2019,4,18,25,21,54
2018_q1,,Gastrointestinal Tract Surgery - Laparoscopic,,Total,Provincial,2018,1,21,91,36,117
2019_q4,,Knee Scope,,Zone 4,Dartmouth General,2019,4,59,99,85,309
2018_q1,,Carotid Endarterectomy,,Total,Provincial,2018,1,,,14,30
12month_rolling,Orthopaedic,Hip Replacement,"Gross, Michael",,,,,114,196,157,259
12month_rolling,Urology,Male Circumcision  (Pediatric),"Miller, M Dale",,,,,112,229,120,222
2019_q3,,Oculo Plastic Surgery,,Zone 4,QE2,2019,3,119,387,102,223
12month_rolling,Urology,Male Circumcision  (Pediatric),"Anderson, Peter A",,,,,13,18,104,234
12month_rolling,Urology,Kidney / Upper Urinary Tract,"Asim, Hammad",,,,,29,29,32,207
2019_q3,,Cystoscopy,,Zone 1,South Shore Regional,2019,3,20,238,27,88
2019_q2,,Male Reproductive System Surgery,,Zone 2,Colchester East Hants Health Centre,2019,2,43,85,104,179
2018_q4,,Hip Replacement,,Zone 1,Valley Regional,2018,4,82,250,293,481
2017_q4,,Septoplasty,,Zone 4,Dartmouth General,2017,4,73,211,79,203
2019_q1,,Shoulder Surgery,,Zone 1,Valley Regional,2019,1,87,144,351,622
12month_rolling,Urology,Bladder Cancer Surgery,"Rendon, Ricardo",,,,,14,43,34,69
2018_q2,,Craniotomy or Craniectomy,,Total,Provincial,2018,2,,,45,223
12month_rolling,,Hand / Upper Extremity,,Zone 1,South Shore Regional,2019,4,77,266,92,186
2018_q3,,Ear Tubes  (Pediatric),,Zone 3,Northside General,2018,3,21,85,,
2018_q2,,Ear Tubes  (Pediatric),,Zone 3,St. Marthas Regional,2018,2,,,81,96
2018_q1,,Thyroid or Parathyroid Surgery,,Zone 3,Cape Breton Regional,2018,1,37,90,42,90
12month_rolling,Orthopaedic,Shoulder Arthroplasty,"Johnston, David G",,,,,84,299,113,309
12month_rolling,Vascular Surgery,Aneurysm Repair,"Davidson, Dion",,,,,24,53,53,172
12month_rolling,Urology,Cystoscopy,"McCarthy, John Paul",,,,,152,276,44,143
2018_q3,,Hernia Repair - Inguinal/Femoral,,Zone 1,Valley Regional,2018,3,51,178,44,124
2018_q3,,Hernia Repair - Incisional,,Zone 2,Colchester East Hants Health Centre,2018,3,53,90,91,117
12month_rolling,Urology,Cystoscopy,"MacLellan, Dawn",,,,,,,27,89
2018_q3,,Lung Cancer Surgery,,Total,Provincial,2018,3,29,49,37,81
2018_q1,,Septoplasty,,Total,Provincial,2018,1,70,329,97,252
12month_rolling,Urology,Prostate Surgery,"Padmore, Dave",,,,,38,109,62,237
12month_rolling,Orthopaedic,Knee Scope,"O'Brien, David A",,,,,67,117,69,267
2019_q4,,Ankle - Arthrodesis,,Total,Provincial,2019,4,,,133,720
2018_q3,,Hernia Repair - Ventral,,Total,Provincial,2018,3,84,294,77,148
12month_rolling,,Craniotomy or Craniectomy,,IWK,IWK,2019,4,,,53,57
2018_q3,,Video-Assisted Thoracic Surgery,,Zone 4,QE2,2018,3,29,56,37,81
2017_q4,,Male Reproductive System Surgery,,Zone 4,Dartmouth General,2017,4,,,87,232
2019_q3,,Pacemaker Insertion,,Zone 4,QE2,2019,3,,,11,21
12month_rolling,,Surgery for Hearing or Balance Problems of the Ear,,IWK,IWK,2019,4,45,191,60,177
2017_q4,,Endometrial Ablation,,Zone 2,Aberdeen Hospital,2017,4,23,113,37,93
12month_rolling,,Vitreoretinal Diseases,,Zone 4,QE2,2019,4,24,103,43,183
12month_rolling,,Hernia Repair - Inguinal/Femoral,,Total,Provincial,2019,4,56,194,60,175
12month_rolling,Plastic Surgery,All,"Bezuhly, Michael",,,,,56,108,151,473
2019_q3,,Bowel Resection,,Total,Provincial,2019,3,22,84,30,74
3month_rolling,,Breast Reduction Surgery,,Zone 3,New Waterford,2019,4,,,7,21
2019_q2,,Hysteroscopy,,Zone 3,Cape Breton Regional,2019,2,38,127,23,45
12month_rolling,Ophthalmology,Cataract Surgery,"de Saint Sardos, Alexandre Guy William",,,,,51,86,60,110
2019_q1,,Cystoscopy,,Zone 1,Valley Regional,2019,1,50,276,58,162
2018_q1,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 1,Valley Regional,2018,1,,,60,234
2018_q2,,Cystoscopy,,Zone 4,Dartmouth General,2018,2,23,144,62,237
12month_rolling,Neurosurgery,Spinal Cord Stimulation Surgery,"Weise, Lutz",,,,,146,246,47,213
2019_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 1,South Shore Regional,2019,2,84,126,43,73
12month_rolling,Neurosurgery,Craniotomy or Craniectomy,"Weise, Lutz",,,,,381,512,36,100
2018_q2,,Temperomandibular Joint Surgery (TMJ),,Total,Provincial,2018,2,122,211,122,382
2018_q4,,Insertion Vascular Access Catheter,,IWK,IWK,2018,4,,,22,59
12month_rolling,Urology,Kidney Removal,"Lawen, Joseph G",,,,,32,32,34,57
2017_q4,,Knee Replacement,,Zone 2,Aberdeen Hospital,2017,4,121,617,201,415
2019_q4,,Maxillofacial Deformity Surgery,,Zone 4,QE2,2019,4,208,301,202,405
2018_q4,,Hernia Repair  (Adult),,Zone 4,QE2,2018,4,171,208,120,240
2018_q2,,Tonsillectomy and/or Adenoidectomy  (Adult),,Zone 4,QE2,2018,2,47,74,,
12month_rolling,Plastic Surgery,Tendon / Ligament Repair,"Paletz, Justin L",,,,,32,531,47,131
2018_q1,,Internal Defib Insertion / Loop Recorder,,Total,Provincial,2018,1,,,23,64
2018_q4,,Nissen Fundoplication - Laparoscopic,,Zone 4,QE2,2018,4,64,218,31,421
12month_rolling,,Hernia Repair - Laparoscopic Ventral,,Zone 1,South Shore Regional,2019,4,60,321,38,45
2018_q4,,Colorectal Cancer Surgery,,Zone 1,Valley Regional,2018,4,18,111,28,66
2019_q4,,Bowel Resection - Laparoscopic,,Total,Provincial,2019,4,24,82,29,139
2018_q1,,Hip Arthroscopy,,Total,Provincial,2018,1,100,881,199,573
2019_q4,,Carpal Tunnel Surgery,,Total,Provincial,2019,4,57,281,52,282
12month_rolling,Orthopaedic,Knee Scope,"Wong, Ivan",,,,,197,686,87,458
2019_q2,,Hernia Repair - Inguinal/Femoral,,Zone 2,Cumberland Regional,2019,2,44,67,58,242
2018_q1,,Hernia Repair - Incisional,,Zone 1,Valley Regional,2018,1,38,64,86,116
12month_rolling,Dental,All,"Dakin, Todd",,,,,54,114,113,247
12month_rolling,,Pilonidal Cyst Surgery,,Zone 4,Hants Community Hospital,2019,4,74,161,34,110
12month_rolling,General Surgery,Hernia Repair - Incisional,"McKenney, Roderick",,,,,47,80,66,85
2018_q1,,Colorectal Cancer Surgery,,Zone 1,South Shore Regional,2018,1,14,84,19,27
12month_rolling,Otolaryngology (ENT),Surgery for Hearing or Balance Problems of the Ear,"LeBlanc, Robin B",,,,,39,98,63,96
2017_q4,,Knee Scope,,Zone 3,Cape Breton Regional,2017,4,54,78,41,232
2018_q4,,Male Reproductive System Surgery,,IWK,IWK,2018,4,37,71,123,230
2018_q2,,Knee Replacement,,Zone 3,Cape Breton Regional,2018,2,96,208,120,268
2019_q2,,Gastric Surgery - Laparoscopic,,Zone 4,QE2,2019,2,84,380,52,545
12month_rolling,Obstetrics/Gynaecology,Tubal Ligation,"Houck, Leslie",,,,,50,56,34,42
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Jorgensen, Sally",,,,,17,95,22,71
2019_q4,,Foot - Arthrodesis,,Zone 4,QE2,2019,4,262,312,317,606
2017_q4,,Knee Replacement,,Zone 4,QE2,2017,4,60,366,314,"1,170"
